"","qso","lnte","m","Sro","srmax","td","vch","vr","ko","cd"
"112",0.571616346241267,0.66077233669089,0.523317568120025,0.792549407721238,1.14201051682619,0.804144081099914,0.674676115640682,0.767086109624807,0.753256853490527,0.861483447769454
"113",0.56813350372613,0.650361573249364,0.513274466973433,0.792789918564892,1.14679304123419,0.800309370797082,0.678538859846202,0.771220786025049,0.753133878217527,0.858843310555184
"114",0.566690741876487,0.64914391427387,0.519357637268716,0.790585193781225,1.14229636693674,0.800467870965491,0.680371371446966,0.774188925659426,0.74728668829879,0.853631242953426
"115",0.561780125286848,0.643625688528074,0.515021707989978,0.784186441451582,1.13877586967203,0.79732839459892,0.679346733720471,0.7718029368918,0.741457437584414,0.846626978107934
"116",0.561536317775574,0.644480399468455,0.515645268104187,0.784976749815742,1.14133900597109,0.80407125454117,0.685152207376468,0.778898186654985,0.738265400329665,0.843388276680346
"117",0.559672104689972,0.641716173888398,0.513452436613873,0.782473766935201,1.14154735827538,0.805240182058577,0.685228341911616,0.780104029905396,0.73664746427477,0.83938954573647
"118",0.555900625050374,0.639355715214296,0.514536977923153,0.781242602300857,1.13853145497636,0.803205540258933,0.684947739302671,0.78037612124348,0.734112207129868,0.8340493863498
"119",0.534956733300208,0.600802100896545,0.482938573493729,0.750710197776132,1.11284382798752,0.777980300016148,0.669020308392203,0.743471219610979,0.724274201024889,0.829004087755457
"120",0.537001199692983,0.60786479328083,0.487699360359602,0.755150716892514,1.12163083445068,0.782068289370659,0.667396959220517,0.749041730994671,0.720919466180369,0.825071916250136
"121",0.500897195874557,0.556218643335214,0.447345753145048,0.693274090552786,1.09166871554523,0.73364139028349,0.620885566654386,0.680030675884995,0.667891396736771,0.778858451999696
"122",0.550129994886127,0.635991695408651,0.50262923308799,0.772672023176362,1.13864508857635,0.800069272424723,0.67807851419491,0.766023469536569,0.731848931471986,0.839517109491123
"123",0.539806437292723,0.634721534926734,0.47801981761593,0.746949999359296,1.112894043222,0.786589585920728,0.664889110824508,0.725831118927308,0.713804934691303,0.831630523765325
"124",0.551423572114428,0.638899985421337,0.502855796228213,0.774558569898041,1.1402838556887,0.79837507758713,0.675150585725307,0.765719339692421,0.730894295244907,0.839139654940033
"125",0.553397422394629,0.638642312448598,0.506653517674884,0.778184477709063,1.14003672198941,0.798346480804907,0.675459705363585,0.772599386954776,0.730677038488252,0.835628722563924
"126",0.550995155994378,0.636400832523658,0.507200223082615,0.776042764893385,1.13555179536579,0.793980541269394,0.673665422136683,0.771115493927803,0.727770524681633,0.82864774673352
"127",0.534373054220767,0.613536530055315,0.470719602738139,0.738289929662083,1.1095193017829,0.776632396822105,0.659580992947612,0.717876916539451,0.71008519890839,0.82616542936792
"128",0.470906085524073,0.578115210961687,0.405849102780204,0.652564015259509,0.972244640640708,0.688904968216972,0.584507212040491,0.615722480424711,0.628669882184729,0.735645270145355
"129",0.480611013830159,0.600950890206993,0.416956397577083,0.66750700359727,0.991418054126506,0.696415349066994,0.586294288816099,0.635513468815499,0.642999054102313,0.751736571023223
"130",0.50058310789955,0.627766214918756,0.439864319123309,0.689527340456225,1.02645829673108,0.706055804862195,0.592142221620744,0.65658924348222,0.67565376504437,0.780253688721742
"131",0.555765235735071,0.661450760813681,0.490162563761464,0.776871353386178,1.13637714515422,0.778728149721397,0.653900000244448,0.742069064841081,0.746817912773561,0.851627694666449
"132",0.560059496323765,0.657744283338697,0.495880089003848,0.784783388708218,1.14222260445019,0.784840350661542,0.659364616321383,0.750886714859204,0.750594320691567,0.855451944729892
"133",0.563218109678321,0.654471272095039,0.505896524561479,0.792015429573582,1.14328606891797,0.795719451640682,0.668442696216919,0.765193321604291,0.749702841428894,0.853853071308037
"134",0.537229144801186,0.649433423056183,0.466423558094855,0.745849801807859,1.11232921404885,0.760629341546261,0.640041171253526,0.716741102161965,0.728865825114957,0.836321559043971
"135",0.488592563105861,0.628037356217347,0.421552377016613,0.66378963982953,1.01751244187432,0.694978210384437,0.576784380819569,0.641267220292912,0.66979734029164,0.772234022256241
"136",0.494793159546806,0.635740774466275,0.429041539001256,0.673332233586107,1.02956319847383,0.702370980419423,0.583781796425616,0.649113391527551,0.676874212591873,0.781928551956589
"137",0.563695052367806,0.653579462676342,0.501622976529292,0.789119171552945,1.13599822173716,0.7908818156128,0.660851375658717,0.755010157770822,0.750862003438119,0.857396181686121
"138",0.556706995151437,0.641015769876449,0.49293269662842,0.780867297358412,1.13096398204213,0.781954275792996,0.658617682045179,0.749461885666965,0.746102862095866,0.851590029999369
"139",0.546354242986852,0.652058600921705,0.477337000073181,0.75570940716252,1.1184381503995,0.771738779807045,0.648285580154383,0.72919366389536,0.733512377856322,0.843435182559256
"140",0.555881700226445,0.65033798894437,0.487443639823576,0.773352502640257,1.133712971408,0.783685670744295,0.660314133166137,0.747456566050024,0.74394086326858,0.852305084109275
"141",0.523898552138942,0.640922423404841,0.456893063705846,0.72560620930031,1.08572869664956,0.750302593720355,0.62985607136746,0.701591288895153,0.711207713275581,0.821936277068054
"142",0.536538800069244,0.646858030330353,0.468563361572985,0.747703723334822,1.1065665234597,0.76533064173568,0.643689464389541,0.719257668464801,0.727449367600855,0.837347924331836
"143",0.549392315384174,0.648752754385528,0.48171382471887,0.770808975979032,1.12598894285131,0.779413786403325,0.656863392723962,0.738898402786616,0.742091001728344,0.849284809605581
"144",0.557603162979427,0.636741848114279,0.49277231046065,0.787142334822973,1.13226735875308,0.786793371713203,0.66381748342211,0.757116084247832,0.748137846761719,0.850697564407565
"145",0.554303419487822,0.646257670411341,0.487046737968704,0.78060410706965,1.13553310156589,0.789261203459131,0.66669470824696,0.753335445189183,0.746367449561437,0.852205004098087
"146",0.556885972459908,0.640985597714436,0.49110569275349,0.786827530271821,1.13873336364987,0.79249618230097,0.670798910300074,0.763380208959489,0.747648359343864,0.850943380687714
"147",0.416712971180978,0.554976751254575,0.361199126684682,0.584198007893846,0.885951829122355,0.616702779413428,0.522993414658217,0.551656823863764,0.584558852907549,0.67842135629871
"148",0.557744396464134,0.644083345346084,0.484655350708934,0.784515846623678,1.12938403726604,0.786408402617016,0.658503807244673,0.748516450598138,0.749442139839061,0.853582569447985
"149",0.554508863049056,0.633290330622992,0.490482038196768,0.783817939619411,1.11754665935633,0.78008064271983,0.655114731207013,0.749356757876228,0.743702762319941,0.846066400887415
