"","qso","lnte","m","Sro","srmax","td","vch","vr","ko","cd"
"54",0.454110964334754,0.482956138866813,0.366025548347311,0.615361807385187,0.887773250825966,0.617499323418407,0.56662402086476,0.557249574294313,0.545420773225672,0.605535000936122
"55",0.450932484959461,0.483974019098594,0.374125296999555,0.608733250312977,0.883398840223638,0.607965704964785,0.562730218126693,0.547767969321478,0.544283330207182,0.606406341745086
"56",0.452211190042217,0.485125094251007,0.374367108048316,0.61014461656436,0.883656269384575,0.60915243128825,0.563978117291904,0.54925313162805,0.545053964617417,0.60703064933526
"57",0.457007441941246,0.487391684281094,0.367647322406908,0.619296110078489,0.887708336957337,0.618565879450192,0.569881318825422,0.559817723665346,0.548561182228827,0.607695989938845
"58",0.462118054348264,0.471666779378184,0.379861734227845,0.612642850489968,0.893519418491631,0.625998859509448,0.561647790468172,0.547481434716159,0.552983446428347,0.600069085474333
"59",0.457841061481773,0.490992991498819,0.372012879826477,0.616822599830595,0.885894323309651,0.61549089898769,0.568641954256335,0.555276625370547,0.548729507340215,0.610429361981103
"60",0.462373536164773,0.494349500352682,0.368149880277935,0.623544913167701,0.888660122554342,0.62011422211585,0.572342687965631,0.561577914159523,0.552567503658767,0.611994981774605
"61",0.458510238323505,0.492333946634849,0.373578709638962,0.617966294313488,0.885924752270043,0.617060239946428,0.570360318728258,0.557510803026782,0.54841452791406,0.611442292766809
"62",0.464636780201399,0.495936334028385,0.366504158934344,0.628664575065635,0.890203175419549,0.624934166536113,0.576462383428116,0.568220688837727,0.553362824660886,0.612620173793896
"63",0.469941974482769,0.470506705644665,0.386899399510291,0.614303028401605,0.897078764970802,0.631514644485257,0.563554739224052,0.544976495523658,0.559891990381756,0.599397289756905
"64",0.439987701480736,0.442679586891547,0.344620826258212,0.512596847808069,0.867423318987015,0.562352159743025,0.473326489665609,0.434179297122711,0.510895135284933,0.566717692363483
"65",0.423833847011889,0.478112567330804,0.36426544054967,0.565466923690882,0.869004907527723,0.614719632345077,0.517545237883348,0.476972233449407,0.543311379308973,0.593988152842867
"66",0.470476433290179,0.489114670651998,0.362836051986526,0.621501968738627,0.902002178433808,0.626074739154418,0.552319213096977,0.541812350986887,0.56661055284122,0.607921534232536
"67",0.416569133163637,0.493737010194797,0.376627504889259,0.572183849876121,0.858181484498924,0.606618328149885,0.517941518349558,0.474716591223941,0.542527073951433,0.599302591832121
"68",0.47018893589754,0.497874628347783,0.371630423853259,0.620185511066771,0.904092032370497,0.622114160079747,0.542836421364613,0.531693880619146,0.570520355195487,0.612950078139845
"69",0.424989888970623,0.499218384944531,0.394976003592781,0.580086498290388,0.859671864411864,0.605147930034633,0.508148569229557,0.47514215098667,0.556360709397916,0.607017464132132
"70",0.444593302358136,0.498591269855122,0.388575710460598,0.601619533644969,0.884001619944799,0.610552343730533,0.515028555647614,0.497649060830578,0.565874706308947,0.611745130481488
"71",0.480294332174354,0.515442685955873,0.398668314256796,0.633028961984364,0.904441900567589,0.623377999424124,0.545635460245099,0.546240430541345,0.579295583967419,0.625320906668705
"72",0.480305036278074,0.509692055781017,0.396291038517187,0.63394703490233,0.907323614865121,0.624043093419225,0.543432640820744,0.550747659635984,0.578095788315964,0.625264630557523
"73",0.473174178468187,0.493455981151246,0.389225862002607,0.624178204416674,0.90784443599937,0.616953374863189,0.531104162420111,0.533876494937825,0.578019429324907,0.618763838500739
"74",0.483294069309582,0.515646316217821,0.406994918088103,0.637215547008905,0.905687789333057,0.628636607430249,0.547882401234556,0.554405552407044,0.581902020555872,0.628448291266944
"75",0.484096578514628,0.510947478090649,0.401214470760664,0.637908769727383,0.908319629983983,0.629703379078638,0.547981870353926,0.558932277031686,0.580063273135602,0.628085745028492
"76",0.485633601395902,0.510998800922104,0.400873505105559,0.639405437098432,0.908957923531033,0.631770127187359,0.549747877681668,0.56157365980058,0.580499808817182,0.628581232561084
"77",0.376299195310088,0.459529170739103,0.342937551356616,0.518208731759436,0.827371563104866,0.563530387981553,0.453205967666055,0.408568740118125,0.523077683958404,0.582261145362857
"78",0.444610444477112,0.483503874286597,0.396608384068434,0.604401794698692,0.866950165112434,0.60650949613973,0.504366556197327,0.491817390085488,0.574996242332877,0.617737212173158
"79",0.466760566359014,0.495544643784362,0.396421279557109,0.623031473899669,0.891144909888195,0.613035671721105,0.516395587062219,0.515790082033216,0.5801288436195,0.624179115998928
"80",0.334767081030435,0.611926522877709,0.360028858700797,0.463017936451543,0.727647898822985,0.545955719013307,0.458291151325396,0.378762808191133,0.449494756013917,0.516422848197087
"81",0.502376803250194,0.52369671513381,0.435329686333089,0.649274300898417,0.915320471233123,0.633190729190456,0.53878296328662,0.550812670081432,0.596995253297512,0.644312579313529
"82",0.474154493064456,0.49644373916943,0.413872668342972,0.623187505096577,0.882970254535826,0.601854273390971,0.505609685587557,0.513966421004285,0.583513186252519,0.621416984104424
"83",0.495200069724031,0.511071224928356,0.427938127850827,0.635142508015615,0.903425744751988,0.616259884397064,0.5155171921494,0.527499601001946,0.593437621337186,0.63897738588954
"84",0.448826881436541,0.449666305014795,0.40548289089223,0.587402093384806,0.871527415326581,0.589841421737761,0.470100546256453,0.495173757608988,0.560751825659641,0.605809157400224
"85",0.409007375495375,0.488147279560073,0.423022741124922,0.522899567783904,0.826639293321381,0.571491530306222,0.440946746727823,0.447787226606699,0.517230643789021,0.564299487846078
"86",0.511800237657885,0.527823567413935,0.461199807328053,0.65011314408728,0.90721381435628,0.625763821015749,0.52119882366548,0.53384411361168,0.605875290170685,0.657950255190067
"87",0.522542321750468,0.54434329231259,0.481165573056684,0.661404897319821,0.916118333228205,0.638828929361559,0.53431949627366,0.551099053266926,0.613247731469131,0.669407207300939
"88",0.498802780735891,0.503798042168073,0.446097428109436,0.633648583676562,0.90329197092692,0.609280493711594,0.506354127331659,0.514602225496751,0.598573055419895,0.646583675607306
"89",0.52758499071967,0.551173467373125,0.491498648864408,0.66649050139524,0.917549435767338,0.645362286283853,0.54303538214615,0.562144547583693,0.617836835308071,0.674721897309831
"90",0.526688979180893,0.549221025066033,0.491417884301853,0.666002715865809,0.916698556149615,0.646046728936916,0.54382436058626,0.563583511307688,0.618103282158364,0.673932938885957
"91",0.523303842312699,0.543895064875527,0.484584714432881,0.662604368421782,0.916090669181113,0.64494271040121,0.541545091942703,0.564350279104486,0.614425034622281,0.670485154808447
